timestamp,epoch,step,gpu_util_percent,gpu_power_w,num_gpus,total_gpu_power_w,cpu_util_percent,note
09:42:09,2,8517,74.0,419.333,1,419.333,12.3,real_measurement
09:42:14,2,8664,77.0,427.257,1,427.257,6.8,real_measurement
09:42:19,2,8812,74.0,391.836,1,391.836,8.0,real_measurement
09:42:24,2,8958,70.0,417.221,1,417.221,8.1,real_measurement
09:42:29,2,9104,72.0,414.033,1,414.033,6.6,real_measurement
09:42:34,2,9250,71.0,424.304,1,424.304,7.2,real_measurement
09:42:39,2,9395,72.0,418.751,1,418.751,9.1,real_measurement
09:42:44,2,9540,75.0,418.64,1,418.64,9.0,real_measurement
09:42:49,2,9690,79.0,449.324,1,449.324,8.6,real_measurement
09:42:54,2,9841,66.0,405.85,1,405.85,6.0,real_measurement
09:42:59,2,9990,67.0,433.339,1,433.339,11.7,real_measurement
09:43:04,2,10133,73.0,421.284,1,421.284,6.1,real_measurement
09:43:09,2,10282,80.0,443.45,1,443.45,4.5,real_measurement
09:43:14,2,10427,73.0,423.116,1,423.116,4.1,real_measurement
09:43:19,2,10573,73.0,421.279,1,421.279,11.7,real_measurement
09:43:24,2,10717,72.0,420.627,1,420.627,8.0,real_measurement
09:43:29,2,10861,71.0,419.395,1,419.395,16.7,real_measurement
09:43:34,2,11007,79.0,444.338,1,444.338,14.4,real_measurement
09:43:39,2,11163,75.0,437.878,1,437.878,13.7,real_measurement
09:43:44,2,11300,67.0,406.539,1,406.539,14.9,real_measurement
09:43:49,2,11454,79.0,444.345,1,444.345,10.0,real_measurement
09:43:54,2,11604,69.0,401.733,1,401.733,11.2,real_measurement
09:43:59,2,11741,72.0,407.952,1,407.952,14.1,real_measurement
09:44:04,2,11896,65.0,431.377,1,431.377,10.4,real_measurement
09:44:09,2,12037,76.0,423.987,1,423.987,14.7,real_measurement
09:44:14,2,12182,76.0,422.601,1,422.601,11.8,real_measurement
09:44:19,2,12329,75.0,424.772,1,424.772,10.6,real_measurement
09:44:24,2,12471,76.0,417.843,1,417.843,10.2,real_measurement
09:44:29,2,12620,79.0,451.125,1,451.125,19.9,real_measurement
09:44:34,2,12766,75.0,422.706,1,422.706,14.1,real_measurement
09:44:39,2,12911,73.0,418.668,1,418.668,15.9,real_measurement
09:44:44,2,13066,79.0,449.97,1,449.97,9.3,real_measurement
09:44:49,2,13208,74.0,407.39,1,407.39,14.1,real_measurement
09:44:55,2,13351,73.0,417.948,1,417.948,18.5,real_measurement
09:45:00,2,13496,70.0,419.958,1,419.958,14.0,real_measurement
09:45:05,2,13642,75.0,424.654,1,424.654,9.3,real_measurement
09:45:10,2,13790,73.0,426.61,1,426.61,15.1,real_measurement
09:45:15,2,13937,70.0,421.643,1,421.643,7.6,real_measurement
09:45:20,2,14082,72.0,422.078,1,422.078,8.3,real_measurement
